,O*NET-SOC Code,Title,Example,Hot Technology,In Demand
3240,13-1031.00,"Claims Adjusters, Examiners, and Investigators",4n6xprt Systems StiffCalcs,N,N
3241,13-1031.00,"Claims Adjusters, Examiners, and Investigators",ADP software,N,N
3242,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Agency Management Systems AMS 360,N,N
3243,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Apple Safari,Y,N
3244,13-1031.00,"Claims Adjusters, Examiners, and Investigators",ARSoftware WinSMAC,N,N
3245,13-1031.00,"Claims Adjusters, Examiners, and Investigators",AutoClaims Direct DirectLink,N,N
3246,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Automatic Data Processing Autosource,N,N
3247,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Automatic Data Processing Claims Manager & Dispatch,N,N
3248,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Automatic Data Processing Estimating,N,N
3249,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Axonwave Fraud and Abuse Management System,N,N
3250,13-1031.00,"Claims Adjusters, Examiners, and Investigators",BCCORP Burkitt W5,N,N
3251,13-1031.00,"Claims Adjusters, Examiners, and Investigators",BCCORP W5 for Adjusters,N,N
3252,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Bill review software,N,N
3253,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Bramerhill ClaimsTech,N,N
3254,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Bridium Claims 3,N,N
3255,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Brightwork Alyce Claims Systems,N,N
3256,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Business software applications,N,N
3257,13-1031.00,"Claims Adjusters, Examiners, and Investigators",CAD Zone Insurance,N,N
3258,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Captiva InputAccel,N,N
3259,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Castek Insure3 Claims,N,N
3260,13-1031.00,"Claims Adjusters, Examiners, and Investigators",CCC EZNet electronic communications network,N,N
3261,13-1031.00,"Claims Adjusters, Examiners, and Investigators",CCC GuidePost Decision Support,N,N
3262,13-1031.00,"Claims Adjusters, Examiners, and Investigators",CCC Pathways Appraisal Quality Solution,N,N
3263,13-1031.00,"Claims Adjusters, Examiners, and Investigators",CCC Pathways Image Management Solution,N,N
3264,13-1031.00,"Claims Adjusters, Examiners, and Investigators",CCC TL2000 Solution,N,N
3265,13-1031.00,"Claims Adjusters, Examiners, and Investigators",CGI INSideOUT,N,N
3266,13-1031.00,"Claims Adjusters, Examiners, and Investigators",CGI-AMS BureauLink Enterprise,N,N
3267,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Claims processing administration and management software,N,N
3268,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Clear Technology Tranzax,N,N
3269,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Computerized voice stress analyzer CVSA software,N,N
3270,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Corporate Systems ClaimsPro,N,N
3271,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Covansys ClaimConnect,N,N
3272,13-1031.00,"Claims Adjusters, Examiners, and Investigators",CSC Automated Work Distributor AWD,N,N
3273,13-1031.00,"Claims Adjusters, Examiners, and Investigators",CSC Colossus,N,N
3274,13-1031.00,"Claims Adjusters, Examiners, and Investigators",CSC Fault Evaluator,N,N
3275,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Datanex ClaimTrac,N,N
3276,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Document management system software,N,N
3277,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Fair Isaac Claims Advisor,N,N
3278,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Fair Isaac SmartAdvisor,N,N
3279,13-1031.00,"Claims Adjusters, Examiners, and Investigators",First Notice Systems ClaimCapture,N,N
3280,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Healthcare common procedure coding system HCPCS,N,N
3281,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Hummingbird Legal Bill Review,N,N
3282,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Hyland OnBase Enterprise Content Management,N,N
3283,13-1031.00,"Claims Adjusters, Examiners, and Investigators",IBM Fraud and Abuse Management System,N,N
3284,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Injury Sciences EDR InSight,N,N
3285,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Insurance claims fraud detection software,N,N
3286,13-1031.00,"Claims Adjusters, Examiners, and Investigators",InSystems Calligo Document Management System,N,N
3287,13-1031.00,"Claims Adjusters, Examiners, and Investigators",ISO ClaimSearch,N,N
3288,13-1031.00,"Claims Adjusters, Examiners, and Investigators",ISO NetMap for Claims,N,N
3289,13-1031.00,"Claims Adjusters, Examiners, and Investigators",LexisNexis RiskWise,N,N
3290,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Magnify Predictive Targeting System,N,N
3291,13-1031.00,"Claims Adjusters, Examiners, and Investigators",MapScenes Evidence Recorder,N,N
3292,13-1031.00,"Claims Adjusters, Examiners, and Investigators",MapScenes Pro,N,N
3293,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Medical condition coding software,N,N
3294,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Medical procedure coding software,N,N
3295,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Microsoft Access,Y,N
3296,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Microsoft Excel,Y,Y
3297,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Microsoft Office software,Y,Y
3298,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Microsoft Outlook,Y,Y
3299,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Microsoft PowerPoint,Y,N
3300,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Microsoft Publisher,N,N
3301,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Microsoft Word,Y,N
3302,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Mozilla Firefox,Y,N
3303,13-1031.00,"Claims Adjusters, Examiners, and Investigators",PhotoModeler,N,N
3304,13-1031.00,"Claims Adjusters, Examiners, and Investigators","Property damage, bodily injury, and liability estimation software",N,N
3305,13-1031.00,"Claims Adjusters, Examiners, and Investigators",QwikQuote software,N,N
3306,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Simsol for Adjusters,N,N
3307,13-1031.00,"Claims Adjusters, Examiners, and Investigators",StrataCare StrataWare eReview,N,N
3308,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Tropics Claims Reserve Management,N,N
3309,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Turtle Creek Software Goldenseal Architect,N,N
3310,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Visual Statement Investigator Suite,N,N
3311,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Xactware Xactimate,N,Y
3312,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Zoom,Y,N
3313,13-1032.00,"Insurance Appraisers, Auto Damage",A-T Solutions Easy Street Draw,N,N
3314,13-1032.00,"Insurance Appraisers, Auto Damage",Adobe Acrobat,Y,N
3315,13-1032.00,"Insurance Appraisers, Auto Damage",App Software Associations AppTrak.net,N,N
3316,13-1032.00,"Insurance Appraisers, Auto Damage",Cost estimating software,N,N
3317,13-1032.00,"Insurance Appraisers, Auto Damage",Disassembler software,N,Y
3318,13-1032.00,"Insurance Appraisers, Auto Damage",Email software,N,N
3319,13-1032.00,"Insurance Appraisers, Auto Damage",Information Services Inc. CCC Pathways Appraisal Solution,N,N
3320,13-1032.00,"Insurance Appraisers, Auto Damage",Meridian Technologies SurePoint,N,N
3321,13-1032.00,"Insurance Appraisers, Auto Damage",Microsoft Excel,Y,N
3322,13-1032.00,"Insurance Appraisers, Auto Damage",Microsoft Office software,Y,Y
3323,13-1032.00,"Insurance Appraisers, Auto Damage",Microsoft Outlook,Y,N
3324,13-1032.00,"Insurance Appraisers, Auto Damage",Microsoft PowerPoint,Y,N
3325,13-1032.00,"Insurance Appraisers, Auto Damage",Microsoft Windows,Y,N
3326,13-1032.00,"Insurance Appraisers, Auto Damage",Microsoft Word,Y,N
3327,13-1032.00,"Insurance Appraisers, Auto Damage",Mitchell International Mitchell WorkCenter,N,N
3328,13-1032.00,"Insurance Appraisers, Auto Damage",NCH Software Express Invoice,N,N
3329,13-1032.00,"Insurance Appraisers, Auto Damage",Solera Audatex Estimating,N,N
3330,13-1032.00,"Insurance Appraisers, Auto Damage",Swan River Software Estimiser Pro,N,N
3331,13-1032.00,"Insurance Appraisers, Auto Damage",Vertafore ImageRight,N,N
3332,13-1032.00,"Insurance Appraisers, Auto Damage",Web browser software,N,N
3333,13-1032.00,"Insurance Appraisers, Auto Damage",Web-Est estimating software,N,N
3334,13-1041.00,Compliance Officers,Commercial driver's license information system CDLIS,N,N
3335,13-1041.00,Compliance Officers,Computer-assisted testing software,N,N
3336,13-1041.00,Compliance Officers,Database software,N,N
3337,13-1041.00,Compliance Officers,Digital imaging system software,N,N
3338,13-1041.00,Compliance Officers,Document scanning software,N,N
3339,13-1041.00,Compliance Officers,Driving simulators,N,N
3340,13-1041.00,Compliance Officers,Microsoft Access,Y,N
3341,13-1041.00,Compliance Officers,Microsoft Excel,Y,Y
3342,13-1041.00,Compliance Officers,Microsoft Office software,Y,Y
3343,13-1041.00,Compliance Officers,Microsoft Outlook,Y,Y
3344,13-1041.00,Compliance Officers,Microsoft PowerPoint,Y,Y
3345,13-1041.00,Compliance Officers,Microsoft Windows,Y,N
3346,13-1041.00,Compliance Officers,Microsoft Word,Y,Y
3347,13-1041.00,Compliance Officers,National Driver Register NDR,N,N
3348,13-1041.00,Compliance Officers,Safety Status Measurement System SafeStat,N,N
3349,13-1041.00,Compliance Officers,Traffic record databases,N,N
3350,13-1041.00,Compliance Officers,Word processing software,N,N
3351,13-1041.01,Environmental Compliance Inspectors,Adobe Acrobat,Y,N
3352,13-1041.01,Environmental Compliance Inspectors,Autodesk AutoCAD,Y,N
3353,13-1041.01,Environmental Compliance Inspectors,Database software,N,N
3354,13-1041.01,Environmental Compliance Inspectors,DQO-PRO,N,N
3355,13-1041.01,Environmental Compliance Inspectors,Enterprise resource planning ERP software,N,N
3356,13-1041.01,Environmental Compliance Inspectors,Environmental Knowledge and Assessment Tool EKAT,N,N
3357,13-1041.01,Environmental Compliance Inspectors,Field Operations and Records Management System (FORMS) II Lite,N,N
3358,13-1041.01,Environmental Compliance Inspectors,Fully Integrated Environmental Location Decision Support FIELDS,N,N
3359,13-1041.01,Environmental Compliance Inspectors,Geographic information system GIS software,N,N
3360,13-1041.01,Environmental Compliance Inspectors,Geographic information system GIS systems,N,N
3361,13-1041.01,Environmental Compliance Inspectors,HRS Quickscore,N,N
3362,13-1041.01,Environmental Compliance Inspectors,Mass Flux Toolkit,N,N
3363,13-1041.01,Environmental Compliance Inspectors,Microsoft Access,Y,N
3364,13-1041.01,Environmental Compliance Inspectors,Microsoft Excel,Y,Y
3365,13-1041.01,Environmental Compliance Inspectors,Microsoft Office software,Y,Y
3366,13-1041.01,Environmental Compliance Inspectors,Microsoft Outlook,Y,N
3367,13-1041.01,Environmental Compliance Inspectors,Microsoft PowerPoint,Y,Y
3368,13-1041.01,Environmental Compliance Inspectors,Microsoft Project,Y,N
3369,13-1041.01,Environmental Compliance Inspectors,Microsoft SharePoint,Y,N
3370,13-1041.01,Environmental Compliance Inspectors,Microsoft Word,Y,N
3371,13-1041.01,Environmental Compliance Inspectors,Monitoring and Remediation Optimization System MAROS,N,N
3372,13-1041.01,Environmental Compliance Inspectors,Rapid Assessment Tools R.A.T.,N,N
3373,13-1041.01,Environmental Compliance Inspectors,Salesforce software,Y,N
3374,13-1041.01,Environmental Compliance Inspectors,SAP software,Y,N
3375,13-1041.01,Environmental Compliance Inspectors,Spatial Analysis and Decision Assistance SADA,N,N
3376,13-1041.01,Environmental Compliance Inspectors,Sustainable Management Approaches and Revitalization Tools SMARTe,N,N
3377,13-1041.01,Environmental Compliance Inspectors,Tibco Scribe Software,N,N
3378,13-1041.01,Environmental Compliance Inspectors,UNIX,Y,N
3379,13-1041.01,Environmental Compliance Inspectors,Word processing software,N,N
3380,13-1041.03,Equal Opportunity Representatives and Officers,Bashen EEOFedSoft,N,N
3381,13-1041.03,Equal Opportunity Representatives and Officers,Bashen EEOSoft,N,N
3382,13-1041.03,Equal Opportunity Representatives and Officers,Bashen LinkLine,N,N
3383,13-1041.03,Equal Opportunity Representatives and Officers,Berkshire Associates BALANCEaap,N,N
3384,13-1041.03,Equal Opportunity Representatives and Officers,Biddle Adverse Impact Toolkit,N,N
3385,13-1041.03,Equal Opportunity Representatives and Officers,Biddle AutoAAP,N,N
3386,13-1041.03,Equal Opportunity Representatives and Officers,Corel WordPerfect Office Suite,N,N
3387,13-1041.03,Equal Opportunity Representatives and Officers,Database software,N,N
3388,13-1041.03,Equal Opportunity Representatives and Officers,EEO Made Simple AAPMaker,N,N
3389,13-1041.03,Equal Opportunity Representatives and Officers,EEO Made Simple AppTrac,N,N
3390,13-1041.03,Equal Opportunity Representatives and Officers,Equal employment opportunity EEO compliance software,N,N
3391,13-1041.03,Equal Opportunity Representatives and Officers,Equitas EEOStat,N,N
3392,13-1041.03,Equal Opportunity Representatives and Officers,Gerstco AAPBase,N,N
3393,13-1041.03,Equal Opportunity Representatives and Officers,IBM Lotus 1-2-3,N,N
3394,13-1041.03,Equal Opportunity Representatives and Officers,Microsoft Access,Y,N
3395,13-1041.03,Equal Opportunity Representatives and Officers,Microsoft Excel,Y,Y
3396,13-1041.03,Equal Opportunity Representatives and Officers,Microsoft Office software,Y,Y
3397,13-1041.03,Equal Opportunity Representatives and Officers,Microsoft Outlook,Y,N
3398,13-1041.03,Equal Opportunity Representatives and Officers,Microsoft PowerPoint,Y,N
3399,13-1041.03,Equal Opportunity Representatives and Officers,Microsoft SharePoint,Y,N
3400,13-1041.03,Equal Opportunity Representatives and Officers,Microsoft Word,Y,N
3401,13-1041.03,Equal Opportunity Representatives and Officers,Peopleclick AAPlanner,N,N
3402,13-1041.03,Equal Opportunity Representatives and Officers,Peopleclick CAAMS,N,N
3403,13-1041.03,Equal Opportunity Representatives and Officers,Peopleclick Monitor,N,N
3404,13-1041.03,Equal Opportunity Representatives and Officers,Peopleclick PayStat,N,N
3405,13-1041.03,Equal Opportunity Representatives and Officers,Speediware SpeedEEO,N,N
3406,13-1041.03,Equal Opportunity Representatives and Officers,Word processing software,N,N
3407,13-1041.03,Equal Opportunity Representatives and Officers,Yocum & McKee The Complete AAP,N,N
3408,13-1041.04,Government Property Inspectors and Investigators,Adobe Acrobat,Y,N
3409,13-1041.04,Government Property Inspectors and Investigators,Adobe Creative Cloud software,Y,N
3410,13-1041.04,Government Property Inspectors and Investigators,Adobe Illustrator,Y,N
3411,13-1041.04,Government Property Inspectors and Investigators,Adobe InDesign,Y,N
3412,13-1041.04,Government Property Inspectors and Investigators,Adobe Photoshop,Y,N
3413,13-1041.04,Government Property Inspectors and Investigators,Apple iOS,Y,Y
3414,13-1041.04,Government Property Inspectors and Investigators,Autodesk AutoCAD,Y,N
3415,13-1041.04,Government Property Inspectors and Investigators,Autodesk AutoCAD Civil 3D,Y,N
3416,13-1041.04,Government Property Inspectors and Investigators,Bentley MicroStation,Y,N
3417,13-1041.04,Government Property Inspectors and Investigators,BrioQuery,N,N
3418,13-1041.04,Government Property Inspectors and Investigators,Coeus,N,N
3419,13-1041.04,Government Property Inspectors and Investigators,Database software,N,N
3420,13-1041.04,Government Property Inspectors and Investigators,Deltek Costpoint,N,N
3421,13-1041.04,Government Property Inspectors and Investigators,Email software,N,N
3422,13-1041.04,Government Property Inspectors and Investigators,Esri ArcGIS,N,N
3423,13-1041.04,Government Property Inspectors and Investigators,Google Workspace software,Y,Y
3424,13-1041.04,Government Property Inspectors and Investigators,Inventory control system software,N,N
3425,13-1041.04,Government Property Inspectors and Investigators,Microsoft Access,Y,N
3426,13-1041.04,Government Property Inspectors and Investigators,Microsoft Excel,Y,Y
3427,13-1041.04,Government Property Inspectors and Investigators,Microsoft NetMeeting,N,N
3428,13-1041.04,Government Property Inspectors and Investigators,Microsoft Office software,Y,N
3429,13-1041.04,Government Property Inspectors and Investigators,Microsoft Outlook,Y,N
3430,13-1041.04,Government Property Inspectors and Investigators,Microsoft PowerPoint,Y,N
3431,13-1041.04,Government Property Inspectors and Investigators,Microsoft Windows,Y,N
3432,13-1041.04,Government Property Inspectors and Investigators,Microsoft Word,Y,Y
3433,13-1041.04,Government Property Inspectors and Investigators,Operating system software,N,Y
3434,13-1041.04,Government Property Inspectors and Investigators,Peninsula Software Quicktrack Pro,N,N
3435,13-1041.04,Government Property Inspectors and Investigators,Plant Clearance Automated Reutilization Screening System PCARSS,N,N
3436,13-1041.04,Government Property Inspectors and Investigators,Radio frequency identification RFID software,N,N
3437,13-1041.04,Government Property Inspectors and Investigators,Records management software,N,N
3438,13-1041.04,Government Property Inspectors and Investigators,SAP software,Y,N
3439,13-1041.04,Government Property Inspectors and Investigators,Shipping software,N,N
3440,13-1041.04,Government Property Inspectors and Investigators,Unique Identification UID system databases,N,N
3441,13-1041.04,Government Property Inspectors and Investigators,Wide Area Workflow WAWF system,N,N
3442,13-1041.04,Government Property Inspectors and Investigators,Word processing software,N,N
3443,13-1041.06,Coroners,3D graphics software,N,N
3444,13-1041.06,Coroners,Alcestis,N,N
3445,13-1041.06,Coroners,Autopsy information databases,N,N
3446,13-1041.06,Coroners,Bite analysis software,N,N
3447,13-1041.06,Coroners,Corel WordPerfect Office Suite,N,N
3448,13-1041.06,Coroners,Customer relationship management CRM software,N,N
3449,13-1041.06,Coroners,Douglas Associates Forensic Filer,N,N
3450,13-1041.06,Coroners,Email software,N,N
3451,13-1041.06,Coroners,EMC Documentum,N,N
3452,13-1041.06,Coroners,Fingerprint databases,N,N
3453,13-1041.06,Coroners,Genetic database software,N,N
3454,13-1041.06,Coroners,Git,Y,N
3455,13-1041.06,Coroners,Google Android,Y,N
3456,13-1041.06,Coroners,Graphics software,N,N
3457,13-1041.06,Coroners,Ingenuware CoronerBase,N,N
3458,13-1041.06,Coroners,Linux,Y,N
3459,13-1041.06,Coroners,Microsoft Excel,Y,N
3460,13-1041.06,Coroners,Microsoft Office software,Y,Y
3461,13-1041.06,Coroners,Microsoft PowerPoint,Y,N
3462,13-1041.06,Coroners,Microsoft SQL Server Reporting Services SSRS,Y,N
3463,13-1041.06,Coroners,Microsoft Word,Y,N
3464,13-1041.06,Coroners,Mideo Systems EZDoc Plus,N,N
3465,13-1041.06,Coroners,Rapid Medical Examiners System,N,N
3466,13-1041.06,Coroners,Spreadsheet software,N,N
3467,13-1041.06,Coroners,Structured query language SQL,Y,N
3468,13-1041.06,Coroners,Toxicology databases,N,N
3469,13-1041.06,Coroners,Transact-SQL,Y,N
3470,13-1041.06,Coroners,UNIX,Y,N
3471,13-1041.06,Coroners,Web browser software,N,N
3472,13-1041.06,Coroners,Word processing software,N,N
3473,13-1041.06,Coroners,Zoom,Y,N
3474,13-1041.07,Regulatory Affairs Specialists,Adobe Acrobat,Y,N
3475,13-1041.07,Regulatory Affairs Specialists,Analyse-it,N,N
3476,13-1041.07,Regulatory Affairs Specialists,Atrion Intelligent Authoring,N,N
3477,13-1041.07,Regulatory Affairs Specialists,DataVision,N,N
3478,13-1041.07,Regulatory Affairs Specialists,FileMaker Pro,N,N
3479,13-1041.07,Regulatory Affairs Specialists,Fund accounting software,N,N
3480,13-1041.07,Regulatory Affairs Specialists,Healthcare common procedure coding system HCPCS,N,N
3481,13-1041.07,Regulatory Affairs Specialists,Human resource management software HRMS,N,N
3482,13-1041.07,Regulatory Affairs Specialists,Integrated development environment IDE software,N,N
3483,13-1041.07,Regulatory Affairs Specialists,LexisNexis,N,N
3484,13-1041.07,Regulatory Affairs Specialists,McAfee,N,N
3485,13-1041.07,Regulatory Affairs Specialists,Medical procedure coding software,N,N
3486,13-1041.07,Regulatory Affairs Specialists,Microsoft Access,Y,N
3487,13-1041.07,Regulatory Affairs Specialists,Microsoft Dynamics,N,N
3488,13-1041.07,Regulatory Affairs Specialists,Microsoft Excel,Y,Y
3489,13-1041.07,Regulatory Affairs Specialists,Microsoft Office software,Y,Y
3490,13-1041.07,Regulatory Affairs Specialists,Microsoft Outlook,Y,Y
3491,13-1041.07,Regulatory Affairs Specialists,Microsoft PowerPoint,Y,Y
3492,13-1041.07,Regulatory Affairs Specialists,Microsoft Project,Y,N
3493,13-1041.07,Regulatory Affairs Specialists,Microsoft SharePoint,Y,N
3494,13-1041.07,Regulatory Affairs Specialists,Microsoft SQL Server,Y,N
3495,13-1041.07,Regulatory Affairs Specialists,Microsoft Visio,Y,N
3496,13-1041.07,Regulatory Affairs Specialists,Microsoft Visual Basic,Y,N
3497,13-1041.07,Regulatory Affairs Specialists,Microsoft Word,Y,Y
3498,13-1041.07,Regulatory Affairs Specialists,MicroStrategy,N,N
3499,13-1041.07,Regulatory Affairs Specialists,NortonLifeLock cybersecurity software,N,N
3500,13-1041.07,Regulatory Affairs Specialists,Qlik Tech QlikView,N,N
3501,13-1041.07,Regulatory Affairs Specialists,Relational database management software,N,N
3502,13-1041.07,Regulatory Affairs Specialists,SAP software,Y,N
3503,13-1041.07,Regulatory Affairs Specialists,Statistical software,N,N
3504,13-1041.07,Regulatory Affairs Specialists,Structured query language SQL,Y,N
3505,13-1041.07,Regulatory Affairs Specialists,Tax software,N,N
3506,13-1041.07,Regulatory Affairs Specialists,Web browser software,N,N
3507,13-1041.07,Regulatory Affairs Specialists,Yardi software,Y,N
3508,13-1041.08,Customs Brokers,Automated commercial environment software ACE,N,N
3509,13-1041.08,Customs Brokers,Automated system for customs data ASYCUDA,N,N
3510,13-1041.08,Customs Brokers,Customs records databases,N,N
3511,13-1041.08,Customs Brokers,Electronic data interchange EDI software,N,N
3512,13-1041.08,Customs Brokers,Materials requirement planning MRP software,N,N
3513,13-1041.08,Customs Brokers,Microsoft Access,Y,N
3514,13-1041.08,Customs Brokers,Microsoft Excel,Y,Y
3515,13-1041.08,Customs Brokers,Microsoft Office software,Y,Y
3516,13-1041.08,Customs Brokers,Microsoft Outlook,Y,Y
3517,13-1041.08,Customs Brokers,Microsoft PowerPoint,Y,Y
3518,13-1041.08,Customs Brokers,Microsoft Word,Y,Y
3519,13-1041.08,Customs Brokers,Operating system software,N,N
3520,13-1041.08,Customs Brokers,Optical character reader OCR software,N,N
3521,13-1041.08,Customs Brokers,Parts classification databases,N,N
3522,13-1041.08,Customs Brokers,SAP Customs Management,N,N
3523,13-1041.08,Customs Brokers,SAP software,Y,N
3524,13-1041.08,Customs Brokers,Tariff databases,N,N
3525,13-1041.08,Customs Brokers,Web browser software,N,N
3526,13-1051.00,Cost Estimators,Adobe Acrobat,Y,N
3527,13-1051.00,Cost Estimators,Apple AppleWorks,N,N
3528,13-1051.00,Cost Estimators,Assured Software JPP,N,N
3529,13-1051.00,Cost Estimators,Autodesk AutoCAD,Y,N
3530,13-1051.00,Cost Estimators,Autodesk Revit,Y,N
3531,13-1051.00,Cost Estimators,Choice Job Cost,N,N
3532,13-1051.00,Cost Estimators,Computer aided design and drafting CADD software,N,N
3533,13-1051.00,Cost Estimators,ConEst BidTrac,N,N
3534,13-1051.00,Cost Estimators,ConEst Electrical Formulas,N,N
3535,13-1051.00,Cost Estimators,ConEst Intellibid,N,N
3536,13-1051.00,Cost Estimators,ConEst IntelliBid Design Build,N,N
3537,13-1051.00,Cost Estimators,ConEst JobTrac,N,N
3538,13-1051.00,Cost Estimators,ConEst Permit Trac,N,N
3539,13-1051.00,Cost Estimators,ConEst SureCount,N,N
3540,13-1051.00,Cost Estimators,ConEst T&M Billing Manager,N,N
3541,13-1051.00,Cost Estimators,ConstructConnect PlanSwift,N,Y
3542,13-1051.00,Cost Estimators,Construction Management Software ProEst,N,N
3543,13-1051.00,Cost Estimators,Corel QuattroPro,N,N
3544,13-1051.00,Cost Estimators,Cost accounting software,N,N
3545,13-1051.00,Cost Estimators,Cost estimating software,N,N
3546,13-1051.00,Cost Estimators,CPR International GeneralCOST Estimator,N,N
3547,13-1051.00,Cost Estimators,CPR Visual Estimator,N,N
3548,13-1051.00,Cost Estimators,Dassault Systemes CATIA,N,N
3549,13-1051.00,Cost Estimators,Decisioneering Crystal Ball,N,N
3550,13-1051.00,Cost Estimators,EFI Hagen OA,N,N
3551,13-1051.00,Cost Estimators,Galorath SEER,N,N
3552,13-1051.00,Cost Estimators,Galorath SEER-SEM,N,N
3553,13-1051.00,Cost Estimators,HCSS HeavyBid,N,N
3554,13-1051.00,Cost Estimators,HCSS HeavyJob,N,N
3555,13-1051.00,Cost Estimators,IBM Costimater,N,N
3556,13-1051.00,Cost Estimators,IBM Lotus 1-2-3,N,N
3557,13-1051.00,Cost Estimators,Intuit QuickBooks,Y,N
3558,13-1051.00,Cost Estimators,Laserfiche Avante,N,N
3559,13-1051.00,Cost Estimators,Logic Software Easy Projects.NET,N,N
3560,13-1051.00,Cost Estimators,Microsoft Access,Y,N
3561,13-1051.00,Cost Estimators,Microsoft Business Contact Manager,N,N
3562,13-1051.00,Cost Estimators,Microsoft Dynamics,N,N
3563,13-1051.00,Cost Estimators,Microsoft Excel,Y,Y
3564,13-1051.00,Cost Estimators,Microsoft Office software,Y,Y
3565,13-1051.00,Cost Estimators,Microsoft OneNote,N,N
3566,13-1051.00,Cost Estimators,Microsoft Outlook,Y,Y
3567,13-1051.00,Cost Estimators,Microsoft PowerPoint,Y,N
3568,13-1051.00,Cost Estimators,Microsoft Project,Y,N
3569,13-1051.00,Cost Estimators,Microsoft Visio,Y,N
3570,13-1051.00,Cost Estimators,Microsoft Word,Y,N
3571,13-1051.00,Cost Estimators,On Center On-Screen Takeoff,N,Y
3572,13-1051.00,Cost Estimators,Oracle Hyperion,N,N
3573,13-1051.00,Cost Estimators,Oracle JD Edwards EnterpriseOne,N,N
3574,13-1051.00,Cost Estimators,Oracle Primavera Enterprise Project Portfolio Management,Y,N
3575,13-1051.00,Cost Estimators,Palisade @Risk,N,N
3576,13-1051.00,Cost Estimators,PRICE Sytems TruePlanning,N,N
3577,13-1051.00,Cost Estimators,Primavera Cost Management,N,N
3578,13-1051.00,Cost Estimators,Procore software,Y,N
3579,13-1051.00,Cost Estimators,QSM SLIM Suite,N,N
3580,13-1051.00,Cost Estimators,Resources Calculations Incorporated SoftCost,N,N
3581,13-1051.00,Cost Estimators,Sage 100 Contractor,N,N
3582,13-1051.00,Cost Estimators,Sage 300 Construction and Real Estate,N,N
3583,13-1051.00,Cost Estimators,Sage 50 Accounting,N,N
3584,13-1051.00,Cost Estimators,SAP BusinessObjects Crystal Reports,N,N
3585,13-1051.00,Cost Estimators,SAP software,Y,N
3586,13-1051.00,Cost Estimators,Softstar Costar COCOMO II,N,N
3587,13-1051.00,Cost Estimators,Software AG enterprise software,N,N
3588,13-1051.00,Cost Estimators,Trimble SketchUp Pro,Y,N
3589,13-1051.00,Cost Estimators,WinEstimator WinEst,N,N
3590,13-1051.00,Cost Estimators,Xactware Xactimate,N,N
3591,13-1071.00,Human Resources Specialists,Adobe Acrobat,Y,N
3592,13-1071.00,Human Resources Specialists,Adobe Creative Cloud software,Y,N
3593,13-1071.00,Human Resources Specialists,Adobe Dreamweaver,N,N
3594,13-1071.00,Human Resources Specialists,Adobe Human Capital Application Solution Accelerator,N,N
3595,13-1071.00,Human Resources Specialists,Adobe Illustrator,Y,N
3596,13-1071.00,Human Resources Specialists,Adobe InDesign,Y,N
3597,13-1071.00,Human Resources Specialists,Adobe LifeCycle Enterprise Suite,N,N
3598,13-1071.00,Human Resources Specialists,Adobe Photoshop,Y,N
