,O*NET-SOC Code,Title,Element Name,Data Value
19112,25-1112.00,"Law Teachers, Postsecondary",Geography,1.9
19116,25-1112.00,"Law Teachers, Postsecondary",Therapy and Counseling,2.12
19080,25-1112.00,"Law Teachers, Postsecondary",Sales and Marketing,2.13
19130,25-1112.00,"Law Teachers, Postsecondary",Public Safety and Security,2.21
19126,25-1112.00,"Law Teachers, Postsecondary",History and Archeology,2.26
19084,25-1112.00,"Law Teachers, Postsecondary",Personnel and Human Resources,2.46
19078,25-1112.00,"Law Teachers, Postsecondary",Economics and Accounting,2.48
19100,25-1112.00,"Law Teachers, Postsecondary",Mathematics,2.5
19076,25-1112.00,"Law Teachers, Postsecondary",Administrative,2.54
19108,25-1112.00,"Law Teachers, Postsecondary",Psychology,2.57
19128,25-1112.00,"Law Teachers, Postsecondary",Philosophy and Theology,2.65
19110,25-1112.00,"Law Teachers, Postsecondary",Sociology and Anthropology,2.75
19074,25-1112.00,"Law Teachers, Postsecondary",Administration and Management,2.87
19082,25-1112.00,"Law Teachers, Postsecondary",Customer and Personal Service,2.95
19136,25-1112.00,"Law Teachers, Postsecondary",Communications and Media,3.26
19090,25-1112.00,"Law Teachers, Postsecondary",Computers and Electronics,3.33
19118,25-1112.00,"Law Teachers, Postsecondary",Education and Training,4.43
19120,25-1112.00,"Law Teachers, Postsecondary",English Language,4.7
19132,25-1112.00,"Law Teachers, Postsecondary",Law and Government,4.91
19168,25-1113.00,"Social Work Teachers, Postsecondary",Physics,1.03
19164,25-1113.00,"Social Work Teachers, Postsecondary",Mechanical,1.05
19162,25-1113.00,"Social Work Teachers, Postsecondary",Building and Construction,1.06
19170,25-1113.00,"Social Work Teachers, Postsecondary",Chemistry,1.09
19152,25-1113.00,"Social Work Teachers, Postsecondary",Production and Processing,1.1
19158,25-1113.00,"Social Work Teachers, Postsecondary",Engineering and Technology,1.11
19154,25-1113.00,"Social Work Teachers, Postsecondary",Food Production,1.19
19190,25-1113.00,"Social Work Teachers, Postsecondary",Fine Arts,1.24
19160,25-1113.00,"Social Work Teachers, Postsecondary",Design,1.41
19204,25-1113.00,"Social Work Teachers, Postsecondary",Transportation,1.59
19144,25-1113.00,"Social Work Teachers, Postsecondary",Economics and Accounting,1.83
19172,25-1113.00,"Social Work Teachers, Postsecondary",Biology,1.86
19192,25-1113.00,"Social Work Teachers, Postsecondary",History and Archeology,1.88
19180,25-1113.00,"Social Work Teachers, Postsecondary",Medicine and Dentistry,1.97
19188,25-1113.00,"Social Work Teachers, Postsecondary",Foreign Language,2.18
19146,25-1113.00,"Social Work Teachers, Postsecondary",Sales and Marketing,2.19
19178,25-1113.00,"Social Work Teachers, Postsecondary",Geography,2.21
19196,25-1113.00,"Social Work Teachers, Postsecondary",Public Safety and Security,2.51
19200,25-1113.00,"Social Work Teachers, Postsecondary",Telecommunications,2.57
19194,25-1113.00,"Social Work Teachers, Postsecondary",Philosophy and Theology,2.7
19150,25-1113.00,"Social Work Teachers, Postsecondary",Personnel and Human Resources,2.74
19166,25-1113.00,"Social Work Teachers, Postsecondary",Mathematics,2.94
19142,25-1113.00,"Social Work Teachers, Postsecondary",Administrative,2.97
19198,25-1113.00,"Social Work Teachers, Postsecondary",Law and Government,3.26
19202,25-1113.00,"Social Work Teachers, Postsecondary",Communications and Media,3.29
19148,25-1113.00,"Social Work Teachers, Postsecondary",Customer and Personal Service,3.36
19140,25-1113.00,"Social Work Teachers, Postsecondary",Administration and Management,3.58
19156,25-1113.00,"Social Work Teachers, Postsecondary",Computers and Electronics,3.58
19174,25-1113.00,"Social Work Teachers, Postsecondary",Psychology,4.07
19186,25-1113.00,"Social Work Teachers, Postsecondary",English Language,4.07
19182,25-1113.00,"Social Work Teachers, Postsecondary",Therapy and Counseling,4.26
19176,25-1113.00,"Social Work Teachers, Postsecondary",Sociology and Anthropology,4.47
19184,25-1113.00,"Social Work Teachers, Postsecondary",Education and Training,4.67
19220,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Food Production,1.07
19246,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Medicine and Dentistry,1.55
19236,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Chemistry,1.67
19218,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Production and Processing,1.71
19228,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Building and Construction,1.73
19234,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Physics,1.73
19238,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Biology,1.73
19210,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Economics and Accounting,1.79
19270,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Transportation,1.85
19224,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Engineering and Technology,1.9
19212,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Sales and Marketing,1.97
19230,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Mechanical,2.04
19264,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Law and Government,2.29
19244,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Geography,2.33
19216,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Personnel and Human Resources,2.35
19232,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Mathematics,2.38
19262,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Public Safety and Security,2.43
19266,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Telecommunications,2.43
19248,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Therapy and Counseling,2.61
19254,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Foreign Language,2.7
19208,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Administrative,2.83
19206,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Administration and Management,2.93
19226,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Design,2.97
19214,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Customer and Personal Service,2.99
19242,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Sociology and Anthropology,3.13
19222,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Computers and Electronics,3.21
19260,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Philosophy and Theology,3.22
19240,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Psychology,3.38
19258,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",History and Archeology,3.38
19268,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Communications and Media,3.56
19252,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",English Language,4.29
19250,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Education and Training,4.67
19256,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Fine Arts,4.91
19296,25-1122.00,"Communications Teachers, Postsecondary",Mechanical,1.03
19302,25-1122.00,"Communications Teachers, Postsecondary",Chemistry,1.05
19300,25-1122.00,"Communications Teachers, Postsecondary",Physics,1.06
19294,25-1122.00,"Communications Teachers, Postsecondary",Building and Construction,1.07
19312,25-1122.00,"Communications Teachers, Postsecondary",Medicine and Dentistry,1.11
19286,25-1122.00,"Communications Teachers, Postsecondary",Food Production,1.14
19284,25-1122.00,"Communications Teachers, Postsecondary",Production and Processing,1.16
19304,25-1122.00,"Communications Teachers, Postsecondary",Biology,1.17
19290,25-1122.00,"Communications Teachers, Postsecondary",Engineering and Technology,1.47
19336,25-1122.00,"Communications Teachers, Postsecondary",Transportation,1.52
19292,25-1122.00,"Communications Teachers, Postsecondary",Design,1.59
19276,25-1122.00,"Communications Teachers, Postsecondary",Economics and Accounting,1.65
19278,25-1122.00,"Communications Teachers, Postsecondary",Sales and Marketing,1.99
19298,25-1122.00,"Communications Teachers, Postsecondary",Mathematics,2.05
19320,25-1122.00,"Communications Teachers, Postsecondary",Foreign Language,2.4
19310,25-1122.00,"Communications Teachers, Postsecondary",Geography,2.41
19282,25-1122.00,"Communications Teachers, Postsecondary",Personnel and Human Resources,2.48
19330,25-1122.00,"Communications Teachers, Postsecondary",Law and Government,2.5
19328,25-1122.00,"Communications Teachers, Postsecondary",Public Safety and Security,2.55
19314,25-1122.00,"Communications Teachers, Postsecondary",Therapy and Counseling,2.7
19332,25-1122.00,"Communications Teachers, Postsecondary",Telecommunications,2.86
19322,25-1122.00,"Communications Teachers, Postsecondary",Fine Arts,3.09
19272,25-1122.00,"Communications Teachers, Postsecondary",Administration and Management,3.27
19324,25-1122.00,"Communications Teachers, Postsecondary",History and Archeology,3.32
19274,25-1122.00,"Communications Teachers, Postsecondary",Administrative,3.33
19326,25-1122.00,"Communications Teachers, Postsecondary",Philosophy and Theology,3.54
19280,25-1122.00,"Communications Teachers, Postsecondary",Customer and Personal Service,3.56
19308,25-1122.00,"Communications Teachers, Postsecondary",Sociology and Anthropology,3.78
19288,25-1122.00,"Communications Teachers, Postsecondary",Computers and Electronics,3.83
19306,25-1122.00,"Communications Teachers, Postsecondary",Psychology,3.91
19334,25-1122.00,"Communications Teachers, Postsecondary",Communications and Media,4.25
19316,25-1122.00,"Communications Teachers, Postsecondary",Education and Training,4.69
19318,25-1122.00,"Communications Teachers, Postsecondary",English Language,4.94
19360,25-1123.00,"English Language and Literature Teachers, Postsecondary",Building and Construction,1.38
19358,25-1123.00,"English Language and Literature Teachers, Postsecondary",Design,1.41
19352,25-1123.00,"English Language and Literature Teachers, Postsecondary",Food Production,1.42
19350,25-1123.00,"English Language and Literature Teachers, Postsecondary",Production and Processing,1.43
19368,25-1123.00,"English Language and Literature Teachers, Postsecondary",Chemistry,1.43
19366,25-1123.00,"English Language and Literature Teachers, Postsecondary",Physics,1.46
19378,25-1123.00,"English Language and Literature Teachers, Postsecondary",Medicine and Dentistry,1.49
19362,25-1123.00,"English Language and Literature Teachers, Postsecondary",Mechanical,1.56
19356,25-1123.00,"English Language and Literature Teachers, Postsecondary",Engineering and Technology,1.58
19402,25-1123.00,"English Language and Literature Teachers, Postsecondary",Transportation,1.66
19342,25-1123.00,"English Language and Literature Teachers, Postsecondary",Economics and Accounting,1.67
19370,25-1123.00,"English Language and Literature Teachers, Postsecondary",Biology,1.7
19398,25-1123.00,"English Language and Literature Teachers, Postsecondary",Telecommunications,1.84
19364,25-1123.00,"English Language and Literature Teachers, Postsecondary",Mathematics,1.99
19344,25-1123.00,"English Language and Literature Teachers, Postsecondary",Sales and Marketing,2.06
19380,25-1123.00,"English Language and Literature Teachers, Postsecondary",Therapy and Counseling,2.12
19394,25-1123.00,"English Language and Literature Teachers, Postsecondary",Public Safety and Security,2.25
19376,25-1123.00,"English Language and Literature Teachers, Postsecondary",Geography,2.37
19396,25-1123.00,"English Language and Literature Teachers, Postsecondary",Law and Government,2.41
19348,25-1123.00,"English Language and Literature Teachers, Postsecondary",Personnel and Human Resources,2.55
19386,25-1123.00,"English Language and Literature Teachers, Postsecondary",Foreign Language,2.65
19338,25-1123.00,"English Language and Literature Teachers, Postsecondary",Administration and Management,2.93
19388,25-1123.00,"English Language and Literature Teachers, Postsecondary",Fine Arts,3.0
19340,25-1123.00,"English Language and Literature Teachers, Postsecondary",Administrative,3.02
19372,25-1123.00,"English Language and Literature Teachers, Postsecondary",Psychology,3.26
19354,25-1123.00,"English Language and Literature Teachers, Postsecondary",Computers and Electronics,3.35
19346,25-1123.00,"English Language and Literature Teachers, Postsecondary",Customer and Personal Service,3.47
19374,25-1123.00,"English Language and Literature Teachers, Postsecondary",Sociology and Anthropology,3.68
19392,25-1123.00,"English Language and Literature Teachers, Postsecondary",Philosophy and Theology,3.72
19390,25-1123.00,"English Language and Literature Teachers, Postsecondary",History and Archeology,3.75
19400,25-1123.00,"English Language and Literature Teachers, Postsecondary",Communications and Media,4.07
19382,25-1123.00,"English Language and Literature Teachers, Postsecondary",Education and Training,4.47
19384,25-1123.00,"English Language and Literature Teachers, Postsecondary",English Language,4.71
19418,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Food Production,1.0
19426,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Building and Construction,1.0
19432,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Physics,1.0
19434,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Chemistry,1.0
19436,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Biology,1.01
19422,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Engineering and Technology,1.02
19428,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Mechanical,1.08
19444,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Medicine and Dentistry,1.08
19416,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Production and Processing,1.17
19424,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Design,1.36
19468,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Transportation,1.43
19464,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Telecommunications,1.48
19408,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Economics and Accounting,1.5
19410,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Sales and Marketing,1.51
19446,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Therapy and Counseling,1.55
19430,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Mathematics,1.66
19460,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Public Safety and Security,1.68
19462,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Law and Government,1.72
19412,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Customer and Personal Service,1.83
19414,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Personnel and Human Resources,2.05
19466,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Communications and Media,2.12
19438,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Psychology,2.27
19404,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Administration and Management,2.39
19420,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Computers and Electronics,2.54
19454,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Fine Arts,2.71
19442,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Geography,3.0
19406,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Administrative,3.01
19440,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Sociology and Anthropology,3.06
19458,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Philosophy and Theology,3.25
19456,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",History and Archeology,3.31
19448,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Education and Training,4.09
19450,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",English Language,4.37
19452,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Foreign Language,5.0
19488,25-1125.00,"History Teachers, Postsecondary",Engineering and Technology,1.0
19492,25-1125.00,"History Teachers, Postsecondary",Building and Construction,1.0
19484,25-1125.00,"History Teachers, Postsecondary",Food Production,1.01
19482,25-1125.00,"History Teachers, Postsecondary",Production and Processing,1.06
19494,25-1125.00,"History Teachers, Postsecondary",Mechanical,1.12
19500,25-1125.00,"History Teachers, Postsecondary",Chemistry,1.14
19498,25-1125.00,"History Teachers, Postsecondary",Physics,1.29
19510,25-1125.00,"History Teachers, Postsecondary",Medicine and Dentistry,1.37
19490,25-1125.00,"History Teachers, Postsecondary",Design,1.41
19474,25-1125.00,"History Teachers, Postsecondary",Economics and Accounting,1.44
19502,25-1125.00,"History Teachers, Postsecondary",Biology,1.67
19530,25-1125.00,"History Teachers, Postsecondary",Telecommunications,1.8
19512,25-1125.00,"History Teachers, Postsecondary",Therapy and Counseling,1.89
19534,25-1125.00,"History Teachers, Postsecondary",Transportation,1.95
19476,25-1125.00,"History Teachers, Postsecondary",Sales and Marketing,2.12
19526,25-1125.00,"History Teachers, Postsecondary",Public Safety and Security,2.42
19480,25-1125.00,"History Teachers, Postsecondary",Personnel and Human Resources,2.49
19520,25-1125.00,"History Teachers, Postsecondary",Fine Arts,2.52
19518,25-1125.00,"History Teachers, Postsecondary",Foreign Language,2.6
19470,25-1125.00,"History Teachers, Postsecondary",Administration and Management,2.76
19478,25-1125.00,"History Teachers, Postsecondary",Customer and Personal Service,2.78
19496,25-1125.00,"History Teachers, Postsecondary",Mathematics,2.78
19472,25-1125.00,"History Teachers, Postsecondary",Administrative,2.97
19504,25-1125.00,"History Teachers, Postsecondary",Psychology,3.06
19532,25-1125.00,"History Teachers, Postsecondary",Communications and Media,3.14
19486,25-1125.00,"History Teachers, Postsecondary",Computers and Electronics,3.35
19524,25-1125.00,"History Teachers, Postsecondary",Philosophy and Theology,3.35
19506,25-1125.00,"History Teachers, Postsecondary",Sociology and Anthropology,3.59
19508,25-1125.00,"History Teachers, Postsecondary",Geography,4.04
19528,25-1125.00,"History Teachers, Postsecondary",Law and Government,4.14
19514,25-1125.00,"History Teachers, Postsecondary",Education and Training,4.42
19516,25-1125.00,"History Teachers, Postsecondary",English Language,4.73
19522,25-1125.00,"History Teachers, Postsecondary",History and Archeology,5.0
19550,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Food Production,1.0
19560,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Mechanical,1.0
19554,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Engineering and Technology,1.01
19558,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Building and Construction,1.01
19548,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Production and Processing,1.05
19566,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Chemistry,1.07
19564,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Physics,1.19
19556,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Design,1.2
19540,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Economics and Accounting,1.35
19600,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Transportation,1.39
19542,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Sales and Marketing,1.41
19576,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Medicine and Dentistry,1.41
19568,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Biology,1.51
19592,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Public Safety and Security,1.54
19596,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Telecommunications,1.82
19578,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Therapy and Counseling,1.84
19536,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Administration and Management,1.86
19586,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Fine Arts,1.93
19574,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Geography,2.09
19562,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Mathematics,2.1
19546,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Personnel and Human Resources,2.14
19538,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Administrative,2.36
19584,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Foreign Language,2.55
19570,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Psychology,2.88
19544,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Customer and Personal Service,2.93
19598,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Communications and Media,2.94
19552,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Computers and Electronics,2.95
19594,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Law and Government,3.03
19572,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Sociology and Anthropology,3.15
19588,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",History and Archeology,3.47
19580,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Education and Training,4.17
19582,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",English Language,4.61
19590,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Philosophy and Theology,4.84
19630,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Physics,1.23
19626,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Mechanical,1.27
19624,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Building and Construction,1.57
19652,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Fine Arts,1.71
19640,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Geography,1.8
19620,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Engineering and Technology,1.81
19632,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Chemistry,1.91
19616,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Food Production,1.96
19642,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Medicine and Dentistry,1.96
19666,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Transportation,2.0
19614,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Production and Processing,2.03
19650,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Foreign Language,2.04
19634,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Biology,2.05
19606,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Economics and Accounting,2.06
19622,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Design,2.09
19654,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",History and Archeology,2.09
19662,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Telecommunications,2.23
19608,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Sales and Marketing,2.47
19644,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Therapy and Counseling,2.62
19612,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Personnel and Human Resources,2.73
19656,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Philosophy and Theology,2.79
19658,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Public Safety and Security,2.87
19660,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Law and Government,3.08
19664,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Communications and Media,3.17
19638,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Sociology and Anthropology,3.29
19604,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Administrative,3.4
19618,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Computers and Electronics,3.44
19628,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Mathematics,3.46
19602,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Administration and Management,3.56
19636,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Psychology,3.59
19610,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Customer and Personal Service,3.74
19646,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Education and Training,4.28
19648,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",English Language,4.56
19716,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Foreign Language,1.34
19680,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Production and Processing,1.53
19682,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Food Production,1.54
19706,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Geography,1.55
19690,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Building and Construction,1.58
19688,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Design,1.72
19720,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",History and Archeology,1.84
19692,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Mechanical,1.89
19718,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Fine Arts,1.94
19728,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Telecommunications,1.96
19732,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Transportation,1.98
19726,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Law and Government,2.19
19722,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Philosophy and Theology,2.22
19686,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Engineering and Technology,2.29
19696,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Physics,2.35
19674,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Sales and Marketing,2.42
19672,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Economics and Accounting,2.46
19704,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Sociology and Anthropology,2.54
19698,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Chemistry,2.63
19670,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Administrative,2.71
19724,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Public Safety and Security,2.9
19678,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Personnel and Human Resources,2.98
19708,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Medicine and Dentistry,3.0
19730,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Communications and Media,3.01
19710,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Therapy and Counseling,3.08
19694,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Mathematics,3.31
19668,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Administration and Management,3.32
19676,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Customer and Personal Service,3.38
19700,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Biology,3.46
19702,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Psychology,3.57
19684,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Computers and Electronics,3.6
19714,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",English Language,4.1
19712,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Education and Training,4.74
19784,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Fine Arts,1.54
19748,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Food Production,1.59
19772,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Geography,1.8
19782,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Foreign Language,1.81
19786,25-1194.00,"Career/Technical Education Teachers, Postsecondary",History and Archeology,1.82
19788,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Philosophy and Theology,1.83
19794,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Telecommunications,2.0
19766,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Biology,2.06
19770,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Sociology and Anthropology,2.06
19774,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Medicine and Dentistry,2.08
19776,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Therapy and Counseling,2.12
19796,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Communications and Media,2.42
19798,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Transportation,2.5
19792,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Law and Government,2.57
19768,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Psychology,2.58
19756,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Building and Construction,2.63
19740,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Sales and Marketing,2.79
19746,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Production and Processing,2.82
19738,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Economics and Accounting,2.88
19762,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Physics,3.0
19744,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Personnel and Human Resources,3.01
19764,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Chemistry,3.06
